,bodyId_pre,bodyId_post,roi,weight,type_pre,instance_pre,order_pre,hemisphere_pre,index_pre,index_fix_pre,type_post,instance_post,order_post,hemisphere_post,index_post,index_fix_post
0,387023620,387364605,EB,66,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_L3,3,L,3,7
1,387023620,449438847,EB,52,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_L3,3,L,3,7
2,387023620,539462336,EB,8,PENb,PEN_b(PB06b)_L4,1,L,4,6,PENb,PEN_b(PB06b)_L4,1,L,4,6
3,387023620,697001770,EB,11,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_L2,3,L,2,8
4,387023620,757055317,EB,4,PENb,PEN_b(PB06b)_L4,1,L,4,6,PENa,PEN_a(PB06a)_L4,0,L,4,6
5,387023620,758419409,EB,43,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_L3,3,L,3,7
6,387023620,910438331,EB,18,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R6,3,R,6,6
7,387023620,912545106,EB,14,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_L2,3,L,2,8
8,387023620,941132434,EB,6,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R6,3,R,6,6
9,387023620,942491983,EB,10,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R6,3,R,6,6
10,387023620,1002507159,EB,40,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R7,3,R,7,7
11,387023620,1002852791,EB,24,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R7,3,R,7,7
12,387023620,1034219901,EB,54,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R7,3,R,7,7
13,387023620,1062526223,EB,13,PENb,PEN_b(PB06b)_L4,1,L,4,6,PENb,PEN_b(PB06b)_R8,1,R,8,8
14,387023620,1126647624,EB,6,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R8,3,R,8,8
15,387023620,5813061251,EB,4,PENb,PEN_b(PB06b)_L4,1,L,4,6,EPG,EPG(PB08)_R8,3,R,8,8
16,387364605,387023620,EB,21,EPG,EPG(PB08)_L3,3,L,3,7,PENb,PEN_b(PB06b)_L4,1,L,4,6
17,387364605,449438847,EB,61,EPG,EPG(PB08)_L3,3,L,3,7,EPG,EPG(PB08)_L3,3,L,3,7
18,387364605,539462336,EB,23,EPG,EPG(PB08)_L3,3,L,3,7,PENb,PEN_b(PB06b)_L4,1,L,4,6
